env,method,run,env_steps,return
atari_alien,dreamerv2,atari_alien_nosched_1,73000000.0,3258.0
atari_alien,dreamerv2,atari_alien_nosched_1,74000000.0,2241.0
atari_alien,dreamerv2,atari_alien_nosched_1,75000000.0,2212.0
atari_alien,dreamerv2,atari_alien_nosched_1,76000000.0,3068.0
atari_alien,dreamerv2,atari_alien_nosched_1,77000000.0,3607.0
atari_alien,dreamerv2,atari_alien_nosched_1,78000000.0,2828.0
atari_alien,dreamerv2,atari_alien_nosched_1,79000000.0,2951.0
atari_alien,dreamerv2,atari_alien_nosched_1,80000000.0,3234.0
atari_alien,dreamerv2,atari_alien_nosched_1,81000000.0,3446.0
atari_alien,dreamerv2,atari_alien_nosched_1,82000000.0,2841.0
atari_alien,dreamerv2,atari_alien_nosched_1,83000000.0,3925.0
atari_alien,dreamerv2,atari_alien_nosched_1,84000000.0,3357.0
atari_alien,dreamerv2,atari_alien_nosched_1,85000000.0,2940.0
atari_alien,dreamerv2,atari_alien_nosched_1,86000000.0,4702.0
atari_alien,dreamerv2,atari_alien_nosched_1,87000000.0,2960.0
atari_alien,dreamerv2,atari_alien_nosched_1,88000000.0,2935.0
atari_alien,dreamerv2,atari_alien_nosched_1,89000000.0,3486.0
atari_alien,dreamerv2,atari_alien_nosched_1,90000000.0,3423.0
atari_alien,dreamerv2,atari_alien_nosched_1,91000000.0,3068.0
atari_alien,dreamerv2,atari_alien_nosched_1,92000000.0,2415.0
atari_alien,dreamerv2,atari_alien_nosched_1,93000000.0,3709.0
atari_alien,dreamerv2,atari_alien_nosched_1,94000000.0,3258.0
atari_alien,dreamerv2,atari_alien_nosched_1,95000000.0,3702.0
atari_alien,dreamerv2,atari_alien_nosched_1,96000000.0,3650.0
atari_alien,dreamerv2,atari_alien_nosched_1,97000000.0,4105.0
atari_alien,dreamerv2,atari_alien_nosched_1,98000000.0,3232.0
atari_alien,dreamerv2,atari_alien_nosched_1,99000000.0,3608.0
atari_alien,dreamerv2,atari_alien_nosched_1,100000000.0,2759.0
atari_alien,dreamerv2,atari_alien_nosched_1,101000000.0,3693.0
atari_alien,dreamerv2,atari_alien_nosched_1,102000000.0,2538.0
atari_alien,dreamerv2,atari_alien_nosched_1,103000000.0,3160.0
